latitude,longitude,weight,type
41.96892,-87.9351,1904,trauma
41.97392,-87.9351,1940,trauma
41.97892,-87.9351,1978,trauma
41.98392,-87.9351,2007,trauma
41.98892,-87.9351,2022,trauma
41.99392,-87.9351,2189,trauma
41.99892,-87.9351,1988,trauma
42.00392,-87.9351,1978,trauma
41.96392,-87.9301,2077,trauma
41.96892,-87.9301,1902,trauma
41.97392,-87.9301,1940,trauma
41.97892,-87.9301,1978,trauma
41.98392,-87.9301,2298,trauma
41.98892,-87.9301,2269,trauma
41.99392,-87.9301,2162,trauma
41.99892,-87.9301,1984,trauma
42.00392,-87.9301,1929,trauma
41.95892,-87.9251,1962,trauma
41.96392,-87.9251,2077,trauma
41.96892,-87.9251,2077,trauma
41.97392,-87.9251,2077,trauma
41.97892,-87.9251,2291,trauma
41.98392,-87.9251,2291,trauma
41.98892,-87.9251,2251,trauma
41.99392,-87.9251,2249,trauma
41.99892,-87.9251,2029,trauma
42.00392,-87.9251,1971,trauma
41.95892,-87.9201,2018,trauma
41.96392,-87.9201,2059,trauma
41.96892,-87.9201,2107,trauma
41.97392,-87.9201,2108,trauma
41.97892,-87.9201,2280,trauma
41.98392,-87.9201,2280,trauma
41.98892,-87.9201,2280,trauma
41.99392,-87.9201,2302,trauma
41.99892,-87.9201,2071,trauma
42.00392,-87.9201,2008,trauma
41.95892,-87.9151,2057,trauma
41.96392,-87.9151,2117,trauma
41.96892,-87.9151,2117,trauma
41.97392,-87.9151,1781,trauma
41.97892,-87.9151,1785,trauma
41.98392,-87.9151,2259,trauma
41.98892,-87.9151,2238,trauma
41.99392,-87.9151,2201,trauma
41.99892,-87.9151,2112,trauma
42.00392,-87.9151,2050,trauma
41.95392,-87.9101,1916,trauma
41.95892,-87.9101,2095,trauma
41.96392,-87.9101,2154,trauma
41.96892,-87.9101,2154,trauma
41.97392,-87.9101,1779,trauma
41.97892,-87.9101,1790,trauma
41.98392,-87.9101,1790,trauma
41.98892,-87.9101,2210,trauma
41.99392,-87.9101,2173,trauma
41.99892,-87.9101,2137,trauma
42.00392,-87.9101,2086,trauma
41.95392,-87.9051,1969,trauma
41.95892,-87.9051,2151,trauma
41.96392,-87.9051,2163,trauma
41.96892,-87.9051,2163,trauma
41.97392,-87.9051,1757,trauma
41.97892,-87.9051,1778,trauma
41.98392,-87.9051,1801,trauma
41.98892,-87.9051,2203,trauma
41.99392,-87.9051,2170,trauma
41.99892,-87.9051,2123,trauma
42.00392,-87.9051,2123,trauma
41.95392,-87.9001,1990,trauma
41.95892,-87.9001,2057,trauma
41.96392,-87.9001,2096,trauma
41.96892,-87.9001,1752,trauma
41.97392,-87.9001,1746,trauma
41.97892,-87.9001,1753,trauma
41.98392,-87.9001,1832,trauma
41.98892,-87.9001,2330,trauma
41.99392,-87.9001,2330,trauma
41.99892,-87.9001,2227,trauma
42.00392,-87.9001,2161,trauma
41.95392,-87.8951,1897,trauma
41.95892,-87.8951,2044,trauma
41.96392,-87.8951,2045,trauma
41.96892,-87.8951,1646,trauma
41.97392,-87.8951,1664,trauma
41.97892,-87.8951,1703,trauma
41.98392,-87.8951,1865,trauma
41.98892,-87.8951,2330,trauma
41.99392,-87.8951,2320,trauma
41.99892,-87.8951,2250,trauma
42.00392,-87.8951,2200,trauma
41.95892,-87.8901,1839,trauma
41.96392,-87.8901,1792,trauma
41.96892,-87.8901,1628,trauma
41.97392,-87.8901,1646,trauma
41.97892,-87.8901,1977,trauma
41.98392,-87.8901,1751,trauma
41.98892,-87.8901,1764,trauma
41.99392,-87.8901,1852,trauma
41.99892,-87.8901,1676,trauma
41.95892,-87.8851,1805,trauma
41.96392,-87.8851,1771,trauma
41.96892,-87.8851,1783,trauma
41.97392,-87.8851,1609,trauma
41.97892,-87.8851,1667,trauma
41.98392,-87.8851,1700,trauma
41.98892,-87.8851,1859,trauma
41.99392,-87.8851,1860,trauma
41.97392,-87.8801,1686,trauma
41.97892,-87.8801,1546,trauma
41.98392,-87.8801,1710,trauma
41.98892,-87.8801,1849,trauma
41.99392,-87.8801,1720,trauma
41.97392,-87.8751,1659,trauma
41.97892,-87.8751,1693,trauma
41.97392,-87.8701,1673,trauma
41.97392,-87.8601,1548,trauma
41.94892,-87.8551,1458,trauma
41.95892,-87.8551,1663,trauma
41.96392,-87.8551,1693,trauma
41.97392,-87.8551,1619,trauma
41.97892,-87.8551,1595,trauma
41.98392,-87.8551,1455,trauma
41.93892,-87.8501,1366,trauma
41.94392,-87.8501,1411,trauma
41.94892,-87.8501,1558,trauma
41.95892,-87.8501,1671,trauma
41.96392,-87.8501,1624,trauma
41.96892,-87.8501,1626,trauma
41.97392,-87.8501,1561,trauma
41.97892,-87.8501,1591,trauma
41.98392,-87.8501,1865,trauma
41.93892,-87.8451,1460,trauma
41.94392,-87.8451,1463,trauma
41.94892,-87.8451,1578,trauma
41.95392,-87.8451,1610,trauma
