latitude,longitude,weight,type
41.96892,-87.9351,1904,potential
41.97392,-87.9351,1940,potential
41.97892,-87.9351,1978,potential
41.98392,-87.9351,2007,potential
41.98892,-87.9351,2022,potential
41.99392,-87.9351,2189,potential
41.99892,-87.9351,1988,potential
42.00392,-87.9351,1978,potential
41.96392,-87.9301,2077,potential
41.96892,-87.9301,1902,potential
41.97392,-87.9301,1940,potential
41.97892,-87.9301,1978,potential
41.98392,-87.9301,2298,potential
41.98892,-87.9301,2269,potential
41.99392,-87.9301,2162,potential
41.99892,-87.9301,1984,potential
42.00392,-87.9301,1929,potential
41.95892,-87.9251,1962,potential
41.96392,-87.9251,2077,potential
41.96892,-87.9251,2077,potential
41.97392,-87.9251,2077,potential
41.97892,-87.9251,2291,potential
41.98392,-87.9251,2291,potential
41.98892,-87.9251,2251,potential
41.99392,-87.9251,2249,potential
41.99892,-87.9251,2029,potential
42.00392,-87.9251,1971,potential
41.95892,-87.9201,2018,potential
41.96392,-87.9201,2059,potential
41.96892,-87.9201,2107,potential
41.97392,-87.9201,2108,potential
41.97892,-87.9201,2280,potential
41.98392,-87.9201,2280,potential
41.98892,-87.9201,2280,potential
41.99392,-87.9201,2302,potential
41.99892,-87.9201,2071,potential
42.00392,-87.9201,2008,potential
41.95892,-87.9151,2057,potential
41.96392,-87.9151,2117,potential
41.96892,-87.9151,2117,potential
41.97392,-87.9151,1781,potential
41.97892,-87.9151,1785,potential
41.98392,-87.9151,2259,potential
41.98892,-87.9151,2238,potential
41.99392,-87.9151,2201,potential
41.99892,-87.9151,2112,potential
42.00392,-87.9151,2050,potential
41.95392,-87.9101,1916,potential
41.95892,-87.9101,2095,potential
41.96392,-87.9101,2154,potential
41.96892,-87.9101,2154,potential
41.97392,-87.9101,1779,potential
41.97892,-87.9101,1790,potential
41.98392,-87.9101,1790,potential
41.98892,-87.9101,2210,potential
41.99392,-87.9101,2173,potential
41.99892,-87.9101,2137,potential
42.00392,-87.9101,2086,potential
41.95392,-87.9051,1969,potential
41.95892,-87.9051,2151,potential
41.96392,-87.9051,2163,potential
41.96892,-87.9051,2163,potential
41.97392,-87.9051,1757,potential
41.97892,-87.9051,1778,potential
41.98392,-87.9051,1801,potential
41.98892,-87.9051,2203,potential
41.99392,-87.9051,2170,potential
41.99892,-87.9051,2123,potential
42.00392,-87.9051,2123,potential
41.95392,-87.9001,1990,potential
41.95892,-87.9001,2057,potential
41.96392,-87.9001,2096,potential
41.96892,-87.9001,1752,potential
41.97392,-87.9001,1746,potential
41.97892,-87.9001,1753,potential
41.98392,-87.9001,1832,potential
41.98892,-87.9001,2330,potential
41.99392,-87.9001,2330,potential
41.99892,-87.9001,2227,potential
42.00392,-87.9001,2161,potential
41.95392,-87.8951,1897,potential
41.95892,-87.8951,2044,potential
41.96392,-87.8951,2045,potential
41.96892,-87.8951,1646,potential
41.97392,-87.8951,1664,potential
41.97892,-87.8951,1703,potential
41.98392,-87.8951,1865,potential
41.98892,-87.8951,2330,potential
41.99392,-87.8951,2320,potential
41.99892,-87.8951,2250,potential
42.00392,-87.8951,2200,potential
41.95892,-87.8901,1839,potential
41.96392,-87.8901,1792,potential
41.96892,-87.8901,1628,potential
41.97392,-87.8901,1646,potential
41.97892,-87.8901,1977,potential
41.98392,-87.8901,1751,potential
41.98892,-87.8901,1764,potential
41.99392,-87.8901,1852,potential
41.99892,-87.8901,1676,potential
41.95892,-87.8851,1805,potential
41.96392,-87.8851,1771,potential
41.96892,-87.8851,1783,potential
41.97392,-87.8851,1609,potential
41.97892,-87.8851,1667,potential
41.98392,-87.8851,1700,potential
41.98892,-87.8851,1859,potential
41.99392,-87.8851,1860,potential
41.97392,-87.8801,1686,potential
41.97892,-87.8801,1546,potential
41.98392,-87.8801,1710,potential
41.98892,-87.8801,1849,potential
41.99392,-87.8801,1720,potential
41.97392,-87.8751,1659,potential
41.97892,-87.8751,1693,potential
41.97392,-87.8701,1673,potential
41.97392,-87.8601,1548,potential
41.94892,-87.8551,1458,potential
41.95892,-87.8551,1663,potential
41.96392,-87.8551,1693,potential
41.97392,-87.8551,1619,potential
41.97892,-87.8551,1595,potential
41.98392,-87.8551,1455,potential
41.93892,-87.8501,1366,potential
41.94392,-87.8501,1411,potential
41.94892,-87.8501,1558,potential
41.95892,-87.8501,1671,potential
41.96392,-87.8501,1624,potential
41.96892,-87.8501,1626,potential
41.97392,-87.8501,1561,potential
41.97892,-87.8501,1591,potential
41.98392,-87.8501,1865,potential
41.93892,-87.8451,1460,potential
41.94392,-87.8451,1463,potential
41.94892,-87.8451,1578,potential
41.95392,-87.8451,1610,potential
41.95892,-87.8451,1600,potential
41.96392,-87.8451,1666,potential
41.97392,-87.8451,1584,potential
41.97892,-87.8451,1559,potential
41.98392,-87.8451,1399,potential
41.93892,-87.8401,1437,potential
41.94392,-87.8401,1416,potential
41.94892,-87.8401,1454,potential
41.95392,-87.8401,1633,potential
41.95892,-87.8401,1710,potential
41.96392,-87.8401,1645,potential
41.97892,-87.8401,1492,potential
41.98392,-87.8401,1458,potential
41.93892,-87.8351,1418,potential
41.94392,-87.8351,1470,potential
41.94892,-87.8351,1527,potential
41.95392,-87.8351,1560,potential
41.95892,-87.8351,1640,potential
41.97892,-87.8351,1453,potential
41.98392,-87.8351,1391,potential
41.93892,-87.8301,1453,potential
41.94392,-87.8301,1490,potential
41.94892,-87.8301,1583,potential
41.97392,-87.8301,1460,potential
41.97892,-87.8301,1472,potential
41.98392,-87.8301,1397,potential
