Name,Address,Date,Time,Neighborhood,Age,Gender,Race,Latitude,Longitude
1,"3000 W. Lawrence Ave., Chicago, IL",1/2/2012,2:22 a.m.,Albany Park,19,Male,White,41.968762,-87.70387
2,"2400 E. 78th St., Chicago, IL",1/2/2012,5:30 p.m.,South Shore,34,Male,Black,41.753549,-87.5662502
3,"2400 W. 71st St., Chicago, IL",1/3/2012,6:01 p.m.,Chicago Lawn,26,Male,Black,41.764703,-87.6833121
4,"1000 N. Pulaski Rd., Chicago, IL",1/3/2012,12:10 p.m.,Humboldt Park,27,Male,Black,41.899155,-87.726526
5,"5700 S. Laflin St., Chicago, IL",1/4/2012,8:10 p.m.,West Englewood,15,Male,Black,41.790258,-87.66239
6,"4600 W. Monroe St., Chicago, IL",1/5/2012,1:55 a.m.,Austin,51,Male,Black,41.8793249,-87.7405902
7,"4400 W. Monroe St., Chicago, IL",1/6/2012,12:25 p.m.,West Garfield Park,44,Male,Black,41.8796708,-87.7354535
8,"5600 S. Justine St., Chicago, IL",1/7/2012,5:54 p.m.,West Englewood,32,Female,Black,41.7921996,-87.6633389
9,"2300 S. Whipple St., Chicago, IL",1/8/2012,6:09 a.m.,South Lawndale,24,Male,White,41.8498469,-87.701862
10,"2200 N. Lawler Ave., Chicago, IL",1/8/2012,3 a.m.,Belmont Cragin,17,Male,White,41.920647,-87.752698
11,"1 W. 69th St., Chicago, IL",1/8/2012,3:47 a.m.,Greater Grand Crossing,18,Male,Black,41.7691195,-87.6249673
12,"5700 S. Sangamon St., Chicago, IL",1/9/2012,8:28 a.m.,Englewood,23,Male,Black,41.790449,-87.6490479
13,"5800 N. Kenmore Ave., Chicago, IL",1/9/2012,11:42 p.m.,Edgewater,32,Male,Black,41.987547,-87.657122
14,"8400 S. Peoria St., Chicago, IL",1/10/2012,11:45 p.m.,Auburn Gresham,18,Male,Black,41.7414748,-87.6462285
15,"4900 W. Polk St., Chicago, IL",1/10/2012,5:43 p.m.,Austin,26,Male,Black,41.870492,-87.747137
16,"5800 S. Fairfield Ave., Chicago, IL",1/13/2012,10:35 p.m.,Gage Park,31,Male,White,41.788104,-87.692766
17,"1400 E. 76th St., Chicago, IL",1/14/2012,12:57 p.m.,South Shore,31,Male,Black,41.757191,-87.590571
18,"6300 S. Campbell Ave., Chicago, IL",1/16/2012,6:40 p.m.,Chicago Lawn,21,Male,Black,41.7791945,-87.6860993
19,"1500 W. 94th St., Chicago, IL",1/17/2012,4:30 p.m.,Washington Heights,19,Male,Black,41.7230766,-87.6602959
20,"7200 S. Western Ave., Chicago, IL",1/19/2012,3:33 a.m.,Chicago Lawn,18,Male,Black,41.7626,-87.683579
21,"300 W. Chicago Ave., Chicago, IL",1/20/2012,9:57 p.m.,Near North Side,22,Male,Black,41.8966006,-87.6357174
22,"1800 W. Juneway Terrace, Chicago, IL",1/20/2012,10:45 p.m.,Rogers Park,15,Male,Black,42.022792,-87.674571
23,"600 E. 90th Pl., Chicago, IL",1/22/2012,2:35 a.m.,Chatham,39,Male,Black,41.730445,-87.609353
24,"7400 S. Merrill Ave., Chicago, IL",1/22/2012,6 p.m.,South Shore,23,Male,Black,41.760564,-87.572815
25,"7600 N. Sheridan Rd., Chicago, IL",1/23/2012,12:30 a.m.,Rogers Park,26,Male,Black,42.019401,-87.666521
26,"7600 N. Sheridan Rd., Chicago, IL",1/23/2012,12:30 a.m.,Rogers Park,27,Male,Black,42.019401,-87.666521
27,"2000 W. 68th St., Chicago, IL",1/23/2012,3:54 p.m.,West Englewood,22,Male,Black,41.770517,-87.673975
28,"5600 S. Perry Ave., Chicago, IL",1/24/2012,12:59 a.m.,Washington Park,39,Female,Black,41.792735,-87.628024
29,"1900 S. Troy St., Chicago, IL",2/1/2012,3:26 p.m.,North Lawndale,28,Male,Black,41.8554047,-87.7041453
30,"5900 S. Calumet Ave., Chicago, IL",2/2/2012,10:10 p.m.,Washington Park,20,Male,Black,41.7874666,-87.6174363
31,"2800 W. 66th St., Chicago, IL",2/5/2012,11:45 a.m.,Chicago Lawn,15,Male,Black,41.7736458,-87.6932603
32,"1200 W. 59th St., Chicago, IL",2/8/2012,12:30 a.m.,West Englewood,22,Male,Black,41.7869017,-87.6547039
33,"1100 N. Western Ave., Chicago, IL",2/9/2012,8:50 p.m.,West Town,57,Female,Black,41.9017182,-87.6869317
34,"3000 W. 23rd St., Chicago, IL",2/11/2012,3:30 a.m.,South Lawndale,24,Male,White,41.8500197,-87.7003002
35,"200 N. Lorel Ave., Chicago, IL",2/11/2012,4:30 a.m.,Austin,20,Male,Black,41.88448,-87.759271
36,"1900 S. Lawndale Ave., Chicago, IL",2/12/2012,1 a.m.,North Lawndale,34,Male,Black,41.854945,-87.71791
37,"6400 S. King Dr., Chicago, IL",2/16/2012,6:46 p.m.,Greater Grand Crossing,19,Male,Black,41.7783997,-87.6156116
38,"3500 W. Huron St., Chicago, IL",2/17/2012,1:10 p.m.,Humboldt Park,21,Male,Black,41.893939,-87.7139849
39,"3400 N. Monticello Ave., Chicago, IL",2/18/2012,7:33 p.m.,Avondale,17,Male,White,41.9428657,-87.7187318
40,"1600 N. Elston Ave., Chicago, IL",2/19/2012,2:53 a.m.,West Town,25,Male,Asian,41.910704,-87.6621738
41,"5300 S. Hoyne Ave., Chicago, IL",2/19/2012,6:25 p.m.,New City,27,Male,Black,41.797418,-87.677176
42,"5000 S. Hermitage Ave., Chicago, IL",2/19/2012,12:30 p.m.,New City,22,Male,Black,41.802979,-87.668814
43,"2800 W. 25th St., Chicago, IL",2/19/2012,5:43 p.m.,South Lawndale,22,Male,White,41.8464704,-87.6952859
44,"2500 E. 79th St., Chicago, IL",2/19/2012,6:40 p.m.,South Shore,19,Male,Black,41.7517645,-87.563802
45,"2500 E. 79th St., Chicago, IL",2/19/2012,6:40 p.m.,South Shore,54,Male,Black,41.7517645,-87.563802
46,"7000 S. Yale Ave., Chicago, IL",2/21/2012,3:34 p.m.,Greater Grand Crossing,14,Male,Black,41.7672117,-87.6310705
47,"1500 S. Kedzie Ave., Chicago, IL",2/23/2012,6:42 p.m.,North Lawndale,25,Male,Black,41.8609168,-87.7055142
48,"3800 W. Jackson Blvd., Chicago, IL",2/24/2012,1:40 p.m.,West Garfield Park,24,Male,Black,41.8771722,-87.7207231
49,"4800 S. Laflin St., Chicago, IL",2/24/2012,12:06 p.m.,New City,23,Male,White,41.806691,-87.6628269
50,"12000 S. Indiana Ave., Chicago, IL",2/25/2012,1:30 a.m.,West Pullman,59,Male,Black,41.676074,-87.618118
51,"11600 S. Ada St., Chicago, IL",2/26/2012,3:30 p.m.,West Pullman,20,Male,Black,41.68295,-87.6558079
52,"300 E. 53rd St., Chicago, IL",2/27/2012,8:02 p.m.,Washington Park,15,Male,Black,41.7984098,-87.6192972
53,"6800 S. Rockwell St., Chicago, IL",2/28/2012,9:34 p.m.,Chicago Lawn,15,Male,Black,41.769941,-87.68863
54,"5500 S. Prairie Ave., Chicago, IL",2/28/2012,6:40 p.m.,Washington Park,23,Male,Black,41.794168,-87.619449
55,"1400 W. 79th Pl., Chicago, IL",2/29/2012,12:28 p.m.,Auburn Gresham,22,Male,Black,41.7493331,-87.6731166
56,"500 E. 104th Pl., Chicago, IL",2/29/2012,6:51 p.m.,Roseland,20,Male,Black,41.704656,-87.6099955
57,"11800 S. Sangamon St., Chicago, IL",3/2/2012,9:55 a.m.,West Pullman,26,Male,Black,41.679448,-87.645966
58,"5800 W. Huron St., Chicago, IL",3/2/2012,5:05 p.m.,Austin,20,Male,Black,41.893186,-87.770248
59,"200 E. 55th Pl., Chicago, IL",3/2/2012,11:01 p.m.,Washington Park,37,Male,Black,41.7938359,-87.6208121
60,"2200 S. Wood St., Chicago, IL",3/4/2012,5:41 p.m.,Lower West Side,34,Male,White,41.8522437,-87.6709325
61,"6500 S. Drexel Ave., Chicago, IL",3/6/2012,6:40 p.m.,Woodlawn,24,Male,Black,41.776642,-87.603683
62,"3000 E. 79th Pl., Chicago, IL",3/6/2012,10:38 p.m.,South Chicago,43,Male,Black,41.7510188,-87.5514998
63,"2600 W. Lithuanian Plaza Court, Chicago, IL",3/8/2012,4:13 p.m.,Chicago Lawn,16,Male,Black,41.7682718,-87.6882869
64,"400 N. Lockwood Ave., Chicago, IL",3/9/2012,6:35 p.m.,Austin,24,Male,Black,41.887939,-87.758182
